"year","rep","age_group","sex","race","cause","cycle","trend"
2004,0,"adults","female","black","intentional_self_harm",0.0319713,0.409947
2005,0,"adults","female","black","intentional_self_harm",0.0172307,0.411613
2006,0,"adults","female","black","intentional_self_harm",-0.0896551,0.414731
2007,0,"adults","female","black","intentional_self_harm",0.00187334,0.419898
2008,0,"adults","female","black","intentional_self_harm",-0.0289138,0.426816
2009,0,"adults","female","black","intentional_self_harm",0.0191967,0.435203
2010,1,"adults","female","black","intentional_self_harm",0.00577659,0.444491
2011,1,"adults","female","black","intentional_self_harm",-0.000948991,0.454303
2012,1,"adults","female","black","intentional_self_harm",0.0413041,0.464318
2013,1,"adults","female","black","intentional_self_harm",-0.00428157,0.474208
2014,1,"adults","female","black","intentional_self_harm",-0.00411778,0.484057
1968,1,"adults","female","black","vehicle",-0.0348633,1.22803
1969,1,"adults","female","black","vehicle",-0.00619899,1.20338
1970,0,"adults","female","black","vehicle",0.00481941,1.17838
1971,0,"adults","female","black","vehicle",0.0589281,1.15263
1972,0,"adults","female","black","vehicle",0.0548246,1.12575
1973,0,"adults","female","black","vehicle",0.0853351,1.09797
1974,0,"adults","female","black","vehicle",-0.0556781,1.07008
1975,0,"adults","female","black","vehicle",-0.048064,1.0437
1976,0,"adults","female","black","vehicle",-0.0280394,1.01989
1977,0,"adults","female","black","vehicle",-0.0423389,0.999259
1978,1,"adults","female","black","vehicle",0.0273222,0.982107
1979,1,"adults","female","black","vehicle",-0.00834034,0.968326
1980,1,"adults","female","black","vehicle",0.0179901,0.958074
1981,1,"adults","female","black","vehicle",-0.034845,0.951428
1982,0,"adults","female","black","vehicle",-0.0428246,0.948647
1983,0,"adults","female","black","vehicle",-0.0384679,0.949638
1984,0,"adults","female","black","vehicle",-0.0217287,0.953881
1985,0,"adults","female","black","vehicle",0.00806106,0.960473
1986,0,"adults","female","black","vehicle",0.0140623,0.968291
1987,0,"adults","female","black","vehicle",0.0331992,0.976294
1988,0,"adults","female","black","vehicle",0.0423007,0.983582
1989,0,"adults","female","black","vehicle",0.0486793,0.989587
1990,0,"adults","female","black","vehicle",0.0109877,0.994163
1991,0,"adults","female","black","vehicle",-0.00879935,0.997651
1992,0,"adults","female","black","vehicle",-0.0287848,1.0005
1993,0,"adults","female","black","vehicle",-0.0324377,1.00308
1994,1,"adults","female","black","vehicle",0.00496675,1.00546
1995,1,"adults","female","black","vehicle",-0.0152857,1.00739
1996,1,"adults","female","black","vehicle",0.00492759,1.00868
1997,1,"adults","female","black","vehicle",0.0163574,1.00897
1998,1,"adults","female","black","vehicle",-0.003983,1.00796
1999,1,"adults","female","black","vehicle",0.003213,1.0055
2000,1,"adults","female","black","vehicle",0.0185184,1.00143
2001,1,"adults","female","black","vehicle",0.00857044,0.995588
2002,0,"adults","female","black","vehicle",0.0105284,0.988018
2003,0,"adults","female","black","vehicle",-0.00280267,0.978843
2004,0,"adults","female","black","vehicle",0.0153724,0.968292
2005,0,"adults","female","black","vehicle",-0.0105169,0.956567
2006,0,"adults","female","black","vehicle",0.0258346,0.944021
2007,0,"adults","female","black","vehicle",-0.00678957,0.930905
2008,0,"adults","female","black","vehicle",-0.00660722,0.917726
2009,0,"adults","female","black","vehicle",-0.0253149,0.904926
2010,1,"adults","female","black","vehicle",-0.0198788,0.892877
2011,1,"adults","female","black","vehicle",-0.0355109,0.8817
2012,1,"adults","female","black","vehicle",0.0132013,0.871318
2013,1,"adults","female","black","vehicle",0.0240377,0.861298
2014,1,"adults","female","black","vehicle",0.00606333,0.851339
1968,1,"adults","female","white","assault",-0.0144238,0.442004
1969,1,"adults","female","white","assault",-0.0197358,0.46093
1970,0,"adults","female","white","assault",0.000875261,0.479711
1971,0,"adults","female","white","assault",-0.0128401,0.498006
1972,0,"adults","female","white","assault",-0.0172856,0.515483
1973,0,"adults","female","white","assault",0.0414808,0.53168
1974,0,"adults","female","white","assault",0.0360131,0.545963
1975,0,"adults","female","white","assault",0.0319445,0.558112
1976,0,"adults","female","white","assault",-0.0393873,0.568269
1977,0,"adults","female","white","assault",-0.00216738,0.576894
1978,1,"adults","female","white","assault",-0.0140803,0.584053
1979,1,"adults","female","white","assault",-0.0021689,0.589791
1980,1,"adults","female","white","assault",0.025362,0.594012
1981,1,"adults","female","white","assault",0.00996484,0.596598
1982,0,"adults","female","white","assault",0.0156608,0.597685
1983,0,"adults","female","white","assault",-0.0254508,0.597509
1984,0,"adults","female","white","assault",-0.0228688,0.596461
1985,0,"adults","female","white","assault",-0.00660832,0.594679
1986,0,"adults","female","white","assault",0.00427228,0.592073
1987,0,"adults","female","white","assault",0.00798167,0.588485
1988,0,"adults","female","white","assault",-0.00965963,0.5838
1989,0,"adults","female","white","assault",-0.0174878,0.577984
1990,0,"adults","female","white","assault",-0.00816098,0.570906
1991,0,"adults","female","white","assault",0.0256054,0.562259
1992,0,"adults","female","white","assault",0.00683703,0.551657
1993,0,"adults","female","white","assault",0.0450785,0.538966
1994,1,"adults","female","white","assault",0.00722718,0.524125
1995,1,"adults","female","white","assault",0.0342696,0.507521
1996,1,"adults","female","white","assault",-0.000704822,0.489612
1997,1,"adults","female","white","assault",-0.018821,0.471202
1998,1,"adults","female","white","assault",-0.00239923,0.453087
1999,1,"adults","female","white","assault",-0.0320253,0.435873
2000,1,"adults","female","white","assault",-0.0277756,0.420144
2001,1,"adults","female","white","assault",0.000512935,0.406162
2002,0,"adults","female","white","assault",-0.00873207,0.393913
2003,0,"adults","female","white","assault",-0.00939973,0.383387
2004,0,"adults","female","white","assault",-0.00793359,0.374487
2005,0,"adults","female","white","assault",-0.00743396,0.367023
2006,0,"adults","female","white","assault",-0.0146306,0.360723
2007,0,"adults","female","white","assault",0.0225702,0.355244
2008,0,"adults","female","white","assault",0.012707,0.350094
2009,0,"adults","female","white","assault",0.00800373,0.345008
2010,1,"adults","female","white","assault",0.000387981,0.339848
2011,1,"adults","female","white","assault",0.00308748,0.334555
2012,1,"adults","female","white","assault",0.0132751,0.329076
2013,1,"adults","female","white","assault",-0.000876747,0.323388
2014,1,"adults","female","white","assault",-0.0100592,0.317598
1968,1,"adults","female","white","intentional_self_harm",-0.0327616,1.02235
1969,1,"adults","female","white","intentional_self_harm",-0.0146835,1.02237
1970,0,"adults","female","white","intentional_self_harm",0.00637037,1.02206
1971,0,"adults","female","white","intentional_self_harm",0.0171557,1.02095
1972,0,"adults","female","white","intentional_self_harm",0.00906431,1.01863
1973,0,"adults","female","white","intentional_self_harm",-0.00709552,1.01485
1974,0,"adults","female","white","intentional_self_harm",0.00837147,1.00948
1975,0,"adults","female","white","intentional_self_harm",0.0213521,1.00228
1976,0,"adults","female","white","intentional_self_harm",0.00724239,0.993127
1977,0,"adults","female","white","intentional_self_harm",0.0316088,0.982096
1978,1,"adults","female","white","intentional_self_harm",0.00678835,0.969338
1979,1,"adults","female","white","intentional_self_harm",-0.00294616,0.955318
1980,1,"adults","female","white","intentional_self_harm",-0.0287973,0.94057
1981,1,"adults","female","white","intentional_self_harm",0.00608476,0.925599
1982,0,"adults","female","white","intentional_self_harm",0.00032082,0.910623
1983,0,"adults","female","white","intentional_self_harm",-0.0100895,0.895917
1984,0,"adults","female","white","intentional_self_harm",-0.000132415,0.881764
1985,0,"adults","female","white","intentional_self_harm",-0.0172348,0.868342
1986,0,"adults","female","white","intentional_self_harm",0.0129463,0.855831
1987,0,"adults","female","white","intentional_self_harm",0.0114559,0.844236
1988,0,"adults","female","white","intentional_self_harm",-0.00270291,0.833694
1989,0,"adults","female","white","intentional_self_harm",-0.0100478,0.824455
1990,0,"adults","female","white","intentional_self_harm",-0.00443223,0.81674
1991,0,"adults","female","white","intentional_self_harm",0.00274005,0.810675
1992,0,"adults","female","white","intentional_self_harm",-0.00758852,0.806336
1993,0,"adults","female","white","intentional_self_harm",-0.00153668,0.803829
1994,1,"adults","female","white","intentional_self_harm",0.00137054,0.803185
1995,1,"adults","female","white","intentional_self_harm",-0.00527751,0.804418
1996,1,"adults","female","white","intentional_self_harm",-0.0088502,0.807556
1997,1,"adults","female","white","intentional_self_harm",0.00256591,0.812575
1998,1,"adults","female","white","intentional_self_harm",-0.00776368,0.819361
1999,1,"adults","female","white","intentional_self_harm",-0.000635583,0.827827
2000,1,"adults","female","white","intentional_self_harm",-0.0139569,0.837809
2001,1,"adults","female","white","intentional_self_harm",-0.00511034,0.849134
2002,0,"adults","female","white","intentional_self_harm",0.0138925,0.861492
2003,0,"adults","female","white","intentional_self_harm",-0.00375733,0.87452
2004,0,"adults","female","white","intentional_self_harm",0.0199189,0.887997
2005,0,"adults","female","white","intentional_self_harm",-0.00286257,0.90166
2006,0,"adults","female","white","intentional_self_harm",0.00142815,0.915449
2007,0,"adults","female","white","intentional_self_harm",0.00490688,0.929273
2008,0,"adults","female","white","intentional_self_harm",0.00961519,0.943056
2009,0,"adults","female","white","intentional_self_harm",-0.00303329,0.956772
2010,1,"adults","female","white","intentional_self_harm",-0.00992288,0.97049
2011,1,"adults","female","white","intentional_self_harm",0.00803735,0.984249
2012,1,"adults","female","white","intentional_self_harm",0.000754854,0.997989
2013,1,"adults","female","white","intentional_self_harm",-0.00564487,1.01173
2014,1,"adults","female","white","intentional_self_harm",0.00287244,1.0255
1968,1,"adults","female","white","vehicle",-0.0135131,1.16195
1969,1,"adults","female","white","vehicle",0.0132663,1.15021
1970,0,"adults","female","white","vehicle",0.0208109,1.13832
1971,0,"adults","female","white","vehicle",0.0150399,1.1263
1972,0,"adults","female","white","vehicle",0.0415976,1.11435
1973,0,"adults","female","white","vehicle",0.0230801,1.10282
1974,0,"adults","female","white","vehicle",-0.0764205,1.09249
1975,0,"adults","female","white","vehicle",-0.0631331,1.08436
1976,0,"adults","female","white","vehicle",-0.0441564,1.07866
1977,0,"adults","female","white","vehicle",-0.00278637,1.07501
1978,1,"adults","female","white","vehicle",0.0234,1.07257
1979,1,"adults","female","white","vehicle",0.0311438,1.07048
1980,1,"adults","female","white","vehicle",0.0393389,1.06811
1981,1,"adults","female","white","vehicle",0.0286486,1.06514
1982,0,"adults","female","white","vehicle",-0.0252195,1.06166
1983,0,"adults","female","white","vehicle",-0.0236892,1.05801
1984,0,"adults","female","white","vehicle",0.00200616,1.05432
1985,0,"adults","female","white","vehicle",-0.0098278,1.05046
1986,0,"adults","female","white","vehicle",-0.00729783,1.04632
1987,0,"adults","female","white","vehicle",0.0203976,1.0417
1988,0,"adults","female","white","vehicle",0.0262318,1.03632
1989,0,"adults","female","white","vehicle",0.0294768,1.03011
1990,0,"adults","female","white","vehicle",0.0224153,1.02326
1991,0,"adults","female","white","vehicle",-0.00780926,1.01625
1992,0,"adults","female","white","vehicle",-0.0340058,1.00978
1993,0,"adults","female","white","vehicle",-0.0288599,1.0045
1994,1,"adults","female","white","vehicle",-0.0200822,1.00069
1995,1,"adults","female","white","vehicle",-0.00950875,0.998345
1996,1,"adults","female","white","vehicle",0.00226989,0.997273
1997,1,"adults","female","white","vehicle",-0.0091939,0.997177
1998,1,"adults","female","white","vehicle",-0.0153957,0.997787
1999,1,"adults","female","white","vehicle",0.00384332,0.998737
2000,1,"adults","female","white","vehicle",-0.00178331,0.999511
2001,1,"adults","female","white","vehicle",0.00126038,0.999629
2002,0,"adults","female","white","vehicle",0.0131671,0.998594
2003,0,"adults","female","white","vehicle",0.015409,0.99592
2004,0,"adults","female","white","vehicle",0.0195563,0.991257
2005,0,"adults","female","white","vehicle",0.0209918,0.984403
2006,0,"adults","female","white","vehicle",0.0346456,0.975357
2007,0,"adults","female","white","vehicle",0.015167,0.964325
2008,0,"adults","female","white","vehicle",-0.00278014,0.951861
2009,0,"adults","female","white","vehicle",-0.0380359,0.938668
2010,1,"adults","female","white","vehicle",-0.0241288,0.925424
2011,1,"adults","female","white","vehicle",-0.0175259,0.912426
2012,1,"adults","female","white","vehicle",0.00286078,0.899729
2013,1,"adults","female","white","vehicle",0.000144351,0.887213
2014,1,"adults","female","white","vehicle",0.00898414,0.874787
1968,1,"adults","male","black","assault",-0.049123,2.13452
1969,1,"adults","male","black","assault",-0.0274315,2.13383
1970,0,"adults","male","black","assault",-0.00972135,2.13264
1971,0,"adults","male","black","assault",0.0359279,2.13021
1972,0,"adults","male","black","assault",0.0593953,2.12565
1973,0,"adults","male","black","assault",0.0235032,2.11847
1974,0,"adults","male","black","assault",0.0360358,2.10875
1975,0,"adults","male","black","assault",0.0197952,2.09683
1976,0,"adults","male","black","assault",-0.0303121,2.08339
1977,0,"adults","male","black","assault",-0.0385578,2.06931
1978,1,"adults","male","black","assault",-0.028536,2.05518
1979,1,"adults","male","black","assault",0.0162028,2.04118
1980,1,"adults","male","black","assault",0.0503607,2.02723
1981,1,"adults","male","black","assault",0.0392712,2.0134
1982,0,"adults","male","black","assault",0.00640128,2.00027
1983,0,"adults","male","black","assault",-0.0535281,1.9888
1984,0,"adults","male","black","assault",-0.0699244,1.98002
1985,0,"adults","male","black","assault",-0.0726507,1.97444
1986,0,"adults","male","black","assault",-0.0129104,1.97185
1987,0,"adults","male","black","assault",-0.0365442,1.97132
1988,0,"adults","male","black","assault",-0.0030387,1.97179
1989,0,"adults","male","black","assault",0.00875747,1.97184
1990,0,"adults","male","black","assault",0.0549041,1.97002
1991,0,"adults","male","black","assault",0.0676089,1.96495
1992,0,"adults","male","black","assault",0.0469638,1.95583
1993,0,"adults","male","black","assault",0.0657548,1.94251
1994,1,"adults","male","black","assault",0.0502409,1.92532
1995,1,"adults","male","black","assault",0.00501726,1.90525
1996,1,"adults","male","black","assault",-0.0121564,1.88378
1997,1,"adults","male","black","assault",-0.02545,1.86245
1998,1,"adults","male","black","assault",-0.0567559,1.84268
1999,1,"adults","male","black","assault",-0.0731895,1.82564
2000,1,"adults","male","black","assault",-0.0362783,1.81191
2001,1,"adults","male","black","assault",-0.0266741,1.80136
2002,0,"adults","male","black","assault",0.00319874,1.7935
2003,0,"adults","male","black","assault",0.0123184,1.78755
2004,0,"adults","male","black","assault",-0.00317504,1.78277
2005,0,"adults","male","black","assault",0.0287224,1.77857
2006,0,"adults","male","black","assault",0.0363771,1.77429
2007,0,"adults","male","black","assault",0.0251383,1.76959
2008,0,"adults","male","black","assault",0.00547296,1.76446
2009,0,"adults","male","black","assault",-0.020383,1.75916
2010,1,"adults","male","black","assault",-0.0195718,1.75402
2011,1,"adults","male","black","assault",-0.0106501,1.74914
2012,1,"adults","male","black","assault",0.0145738,1.74444
2013,1,"adults","male","black","assault",0.0108028,1.73972
2014,1,"adults","male","black","assault",-0.00618292,1.73494
1968,1,"adults","male","black","intentional_self_harm",-0.0418042,1.15599
1969,1,"adults","male","black","intentional_self_harm",0.00119968,1.17393
1970,0,"adults","male","black","intentional_self_harm",0.0149453,1.19144
1971,0,"adults","male","black","intentional_self_harm",-0.0479079,1.20814
1972,0,"adults","male","black","intentional_self_harm",0.0315578,1.22375
1973,0,"adults","male","black","intentional_self_harm",0.0170617,1.23754
1974,0,"adults","male","black","intentional_self_harm",0.0103013,1.2491
1975,0,"adults","male","black","intentional_self_harm",0.0166591,1.25818
1976,0,"adults","male","black","intentional_self_harm",0.00867452,1.26462
1977,0,"adults","male","black","intentional_self_harm",0.0172337,1.26845
1978,1,"adults","male","black","intentional_self_harm",0.0260139,1.26977
1979,1,"adults","male","black","intentional_self_harm",0.0409834,1.26887
1980,1,"adults","male","black","intentional_self_harm",-0.00638625,1.26628
1981,1,"adults","male","black","intentional_self_harm",-0.0166868,1.26295
1982,0,"adults","male","black","intentional_self_harm",-0.0306765,1.25977
1983,0,"adults","male","black","intentional_self_harm",-0.0495496,1.25746
1984,0,"adults","male","black","intentional_self_harm",-0.0186305,1.25642
1985,0,"adults","male","black","intentional_self_harm",-0.0214217,1.25658
1986,0,"adults","male","black","intentional_self_harm",-0.00750962,1.25766
1987,0,"adults","male","black","intentional_self_harm",-0.000993653,1.25919
1988,0,"adults","male","black","intentional_self_harm",0.00401566,1.26059
1989,0,"adults","male","black","intentional_self_harm",0.0244351,1.2613
1990,0,"adults","male","black","intentional_self_harm",0.0128945,1.26079
1991,0,"adults","male","black","intentional_self_harm",-0.00143775,1.25879
1992,0,"adults","male","black","intentional_self_harm",0.00191832,1.25512
1993,0,"adults","male","black","intentional_self_harm",0.0334222,1.24962
1994,1,"adults","male","black","intentional_self_harm",0.01811,1.24214
1995,1,"adults","male","black","intentional_self_harm",0.0187617,1.23286
1996,1,"adults","male","black","intentional_self_harm",0.012767,1.22215
1997,1,"adults","male","black","intentional_self_harm",-0.00706896,1.21056
1998,1,"adults","male","black","intentional_self_harm",-0.0211887,1.19877
1999,1,"adults","male","black","intentional_self_harm",-0.0100077,1.18739
2000,1,"adults","male","black","intentional_self_harm",-0.010613,1.1768
2001,1,"adults","male","black","intentional_self_harm",-0.0125662,1.16732
2002,0,"adults","male","black","intentional_self_harm",0.00128602,1.15913
2003,0,"adults","male","black","intentional_self_harm",-0.00125891,1.1523
2004,0,"adults","male","black","intentional_self_harm",-0.0115173,1.1469
2005,0,"adults","male","black","intentional_self_harm",-0.00227643,1.143
2006,0,"adults","male","black","intentional_self_harm",7.95037e-005,1.14055
2007,0,"adults","male","black","intentional_self_harm",-0.0154209,1.13947
2008,0,"adults","male","black","intentional_self_harm",0.00643318,1.13971
2009,0,"adults","male","black","intentional_self_harm",-0.0174122,1.14102
2010,1,"adults","male","black","intentional_self_harm",-0.000383395,1.14325
2011,1,"adults","male","black","intentional_self_harm",0.0126861,1.14606
2012,1,"adults","male","black","intentional_self_harm",0.0180866,1.14911
2013,1,"adults","male","black","intentional_self_harm",0.0034475,1.1522
2014,1,"adults","male","black","intentional_self_harm",-0.000255169,1.15528
1968,1,"adults","male","black","vehicle",-0.016086,1.8626
1969,1,"adults","male","black","vehicle",0.0137631,1.83858
1970,0,"adults","male","black","vehicle",0.00962604,1.8144
1971,0,"adults","male","black","vehicle",0.00588611,1.79003
1972,0,"adults","male","black","vehicle",0.0389182,1.76556
1973,0,"adults","male","black","vehicle",0.0473791,1.7411
1974,0,"adults","male","black","vehicle",-0.0496515,1.71718
1975,0,"adults","male","black","vehicle",-0.0396788,1.69481
1976,0,"adults","male","black","vehicle",-0.037088,1.67446
1977,0,"adults","male","black","vehicle",-0.00659046,1.65626
1978,1,"adults","male","black","vehicle",0.012447,1.63992
1979,1,"adults","male","black","vehicle",0.0201694,1.62511
1980,1,"adults","male","black","vehicle",0.0212654,1.61163
1981,1,"adults","male","black","vehicle",0.00775553,1.59945
1982,0,"adults","male","black","vehicle",-0.0350521,1.5888
1983,0,"adults","male","black","vehicle",-0.0400004,1.57994
1984,0,"adults","male","black","vehicle",-0.0230398,1.5728
1985,0,"adults","male","black","vehicle",-0.00669575,1.56693
1986,0,"adults","male","black","vehicle",0.0255351,1.56161
1987,0,"adults","male","black","vehicle",0.0176034,1.55609
1988,0,"adults","male","black","vehicle",0.0344713,1.54985
1989,0,"adults","male","black","vehicle",0.0471289,1.54255
1990,0,"adults","male","black","vehicle",0.0375428,1.5342
1991,0,"adults","male","black","vehicle",-0.00733507,1.5253
1992,0,"adults","male","black","vehicle",-0.0334894,1.51668
1993,0,"adults","male","black","vehicle",-0.0170093,1.50914
1994,1,"adults","male","black","vehicle",-0.0425781,1.50311
1995,1,"adults","male","black","vehicle",-0.00719522,1.49889
1996,1,"adults","male","black","vehicle",-0.0144115,1.49632
1997,1,"adults","male","black","vehicle",-0.0193744,1.49518
1998,1,"adults","male","black","vehicle",-0.0206801,1.49511
1999,1,"adults","male","black","vehicle",0.0126821,1.49555
2000,1,"adults","male","black","vehicle",0.0274776,1.49573
2001,1,"adults","male","black","vehicle",0.0102287,1.49502
2002,0,"adults","male","black","vehicle",-0.000495166,1.49306
2003,0,"adults","male","black","vehicle",0.00580035,1.48957
2004,0,"adults","male","black","vehicle",0.0137388,1.48431
2005,0,"adults","male","black","vehicle",0.0166069,1.47705
2006,0,"adults","male","black","vehicle",0.0338773,1.46774
2007,0,"adults","male","black","vehicle",0.0434136,1.45646
2008,0,"adults","male","black","vehicle",-0.00600612,1.44365
2009,0,"adults","male","black","vehicle",-0.0284751,1.43018
2010,1,"adults","male","black","vehicle",-0.0435377,1.41685
2011,1,"adults","male","black","vehicle",-0.0360885,1.4042
2012,1,"adults","male","black","vehicle",-0.00200861,1.3923
2013,1,"adults","male","black","vehicle",0.00980356,1.38089
2014,1,"adults","male","black","vehicle",0.0194469,1.36968
1968,1,"adults","male","white","assault",-0.0162066,0.992204
1969,1,"adults","male","white","assault",-0.0326599,1.013
1970,0,"adults","male","white","assault",-0.00338505,1.03363
1971,0,"adults","male","white","assault",0.00632174,1.05361
1972,0,"adults","male","white","assault",0.0102331,1.07242
1973,0,"adults","male","white","assault",0.0123833,1.08959
1974,0,"adults","male","white","assault",0.0301599,1.10478
1975,0,"adults","male","white","assault",0.0149028,1.11774
1976,0,"adults","male","white","assault",-0.0333628,1.12855
1977,0,"adults","male","white","assault",-0.0291334,1.13742
1978,1,"adults","male","white","assault",-0.010324,1.14424
1979,1,"adults","male","white","assault",0.0246265,1.14859
1980,1,"adults","male","white","assault",0.0659223,1.14998
1981,1,"adults","male","white","assault",0.0487989,1.14813
1982,0,"adults","male","white","assault",0.0132885,1.14345
1983,0,"adults","male","white","assault",-0.0280477,1.1368
1984,0,"adults","male","white","assault",-0.0372371,1.12921
1985,0,"adults","male","white","assault",-0.0391924,1.12141
1986,0,"adults","male","white","assault",-0.0121057,1.11377
1987,0,"adults","male","white","assault",-0.0478682,1.10626
1988,0,"adults","male","white","assault",-0.044888,1.09872
1989,0,"adults","male","white","assault",-0.0212057,1.09053
1990,0,"adults","male","white","assault",0.0243888,1.08061
1991,0,"adults","male","white","assault",0.0465,1.06767
1992,0,"adults","male","white","assault",0.0448429,1.05067
1993,0,"adults","male","white","assault",0.0405746,1.02902
1994,1,"adults","male","white","assault",0.0598812,1.00258
1995,1,"adults","male","white","assault",0.0418606,0.971647
1996,1,"adults","male","white","assault",0.0262963,0.937075
1997,1,"adults","male","white","assault",0.0454261,0.90016
1998,1,"adults","male","white","assault",0.0394758,0.862456
1999,1,"adults","male","white","assault",-0.110846,0.82597
2000,1,"adults","male","white","assault",-0.105233,0.793105
2001,1,"adults","male","white","assault",-0.0456479,0.765155
2002,0,"adults","male","white","assault",-0.0312325,0.742362
2003,0,"adults","male","white","assault",-0.0271603,0.724512
2004,0,"adults","male","white","assault",-0.00937431,0.711077
2005,0,"adults","male","white","assault",-0.00596935,0.701259
2006,0,"adults","male","white","assault",0.0073102,0.694166
2007,0,"adults","male","white","assault",0.0363793,0.688846
2008,0,"adults","male","white","assault",0.0578024,0.68442
2009,0,"adults","male","white","assault",-0.0087535,0.680372
2010,1,"adults","male","white","assault",-0.0156483,0.676767
2011,1,"adults","male","white","assault",-0.00392054,0.673579
