"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	"Race"	"Race Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"1968"	"1968"	"10-14 years"	"10-14"	"Other Race"	"2131-1"	"Male"	"M"	41	122000	33.6
	"1968"	"1968"	"10-14 years"	"10-14"	"White"	"2106-3"	"Female"	"F"	937	8518000	11.0
	"1968"	"1968"	"10-14 years"	"10-14"	"White"	"2106-3"	"Male"	"M"	2630	8890000	29.6
	"1968"	"1968"	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Female"	"F"	396	1136000	34.9
	"1968"	"1968"	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Male"	"M"	1857	1114000	166.7
	"1968"	"1968"	"15-19 years"	"15-19"	"Other Race"	"2131-1"	"Female"	"F"	44	110000	40.0
	"1968"	"1968"	"15-19 years"	"15-19"	"Other Race"	"2131-1"	"Male"	"M"	140	110000	127.3
	"1968"	"1968"	"15-19 years"	"15-19"	"White"	"2106-3"	"Female"	"F"	2647	7767000	34.1
	"1968"	"1968"	"15-19 years"	"15-19"	"White"	"2106-3"	"Male"	"M"	9119	7953000	114.7
	"1968"	"1968"	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Female"	"F"	508	878000	57.9
	"1968"	"1968"	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Male"	"M"	2280	748000	304.8
	"1968"	"1968"	"20-24 years"	"20-24"	"Other Race"	"2131-1"	"Female"	"F"	49	102000	48.0
	"1968"	"1968"	"20-24 years"	"20-24"	"Other Race"	"2131-1"	"Male"	"M"	194	95000	204.2
	"1968"	"1968"	"20-24 years"	"20-24"	"White"	"2106-3"	"Female"	"F"	2286	6867000	33.3
	"1968"	"1968"	"20-24 years"	"20-24"	"White"	"2106-3"	"Male"	"M"	9899	6365000	155.5
	"1968"	"1968"	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Female"	"F"	855	1392000	61.4
	"1968"	"1968"	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Male"	"M"	3766	1165000	323.3
	"1968"	"1968"	"25-34 years"	"25-34"	"Other Race"	"2131-1"	"Female"	"F"	98	179000	54.7
	"1968"	"1968"	"25-34 years"	"25-34"	"Other Race"	"2131-1"	"Male"	"M"	285	161000	177.0
	"1968"	"1968"	"25-34 years"	"25-34"	"White"	"2106-3"	"Female"	"F"	3139	10543000	29.8
	"1968"	"1968"	"25-34 years"	"25-34"	"White"	"2106-3"	"Male"	"M"	11436	10262000	111.4
	"1968"	"1968"	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Female"	"F"	911	1309000	69.6
	"1968"	"1968"	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Male"	"M"	3180	1097000	289.9
	"1968"	"1968"	"35-44 years"	"35-44"	"Other Race"	"2131-1"	"Female"	"F"	65	163000	39.9
	"1968"	"1968"	"35-44 years"	"35-44"	"Other Race"	"2131-1"	"Male"	"M"	199	140000	142.1
	"1968"	"1968"	"35-44 years"	"35-44"	"White"	"2106-3"	"Female"	"F"	3883	10651000	36.5
	"1968"	"1968"	"35-44 years"	"35-44"	"White"	"2106-3"	"Male"	"M"	10578	10228000	103.4
	"1968"	"1968"	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Female"	"F"	610	1100000	55.5
	"1968"	"1968"	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Male"	"M"	2536	957000	265.0
	"1968"	"1968"	"45-54 years"	"45-54"	"Other Race"	"2131-1"	"Female"	"F"	54	100000	54.0
	"1968"	"1968"	"45-54 years"	"45-54"	"Other Race"	"2131-1"	"Male"	"M"	159	105000	151.4
	"1968"	"1968"	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"	4556	10533000	43.3
	"1968"	"1968"	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	11552	9933000	116.3
	"1968"	"1968"	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Female"	"F"	504	828000	60.9
	"1968"	"1968"	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Male"	"M"	1673	716000	233.7
	"1968"	"1968"	"55-64 years"	"55-64"	"Other Race"	"2131-1"	"Female"	"F"	38	62000	61.3
	"1968"	"1968"	"55-64 years"	"55-64"	"Other Race"	"2131-1"	"Male"	"M"	156	84000	185.7
	"1968"	"1968"	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	4179	8610000	48.5
	"1968"	"1968"	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	10751	7787000	138.1
	"1968"	"1968"	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"	441	563000	78.3
	"1968"	"1968"	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Male"	"M"	1048	453000	231.3
	"1968"	"1968"	"65-74 years"	"65-74"	"Other Race"	"2131-1"	"Female"	"F"	35	41000	85.4
	"1968"	"1968"	"65-74 years"	"65-74"	"Other Race"	"2131-1"	"Male"	"M"	102	48000	212.5
	"1968"	"1968"	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	4347	6208000	70.0
	"1968"	"1968"	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	8143	4865000	167.4
	"1968"	"1968"	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Female"	"F"	310	222000	139.6
	"1968"	"1968"	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Male"	"M"	409	165000	247.9
	"1968"	"1968"	"75-84 years"	"75-84"	"Other Race"	"2131-1"	"Female"	"F"	32	18000	177.8
	"1968"	"1968"	"75-84 years"	"75-84"	"Other Race"	"2131-1"	"Male"	"M"	46	21000	219.0
	"1968"	"1968"	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"	5631	3290000	171.2
	"1968"	"1968"	"75-84 years"	"75-84"	"White"	"2106-3"	"Male"	"M"	6442	2230000	288.9
	"1968"	"1968"	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Female"	"F"	161	56000	287.5
	"1968"	"1968"	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Male"	"M"	120	35000	342.9
	"1968"	"1968"	"85+ years"	"85+"	"Other Race"	"2131-1"	"Female"	"F"	18	5000	360.0 (Unreliable)
	"1968"	"1968"	"85+ years"	"85+"	"Other Race"	"2131-1"	"Male"	"M"	20	6000	333.3
	"1968"	"1968"	"85+ years"	"85+"	"White"	"2106-3"	"Female"	"F"	3926	739000	531.3
	"1968"	"1968"	"85+ years"	"85+"	"White"	"2106-3"	"Male"	"M"	2499	399000	626.3
	"1968"	"1968"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	"Female"	"F"	7	Not Applicable	Not Applicable
	"1968"	"1968"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	"Male"	"M"	20	Not Applicable	Not Applicable
	"1968"	"1968"	"Not Stated"	"NS"	"Other Race"	"2131-1"	"Female"	"F"	2	Not Applicable	Not Applicable
	"1968"	"1968"	"Not Stated"	"NS"	"Other Race"	"2131-1"	"Male"	"M"	1	Not Applicable	Not Applicable
	"1968"	"1968"	"Not Stated"	"NS"	"White"	"2106-3"	"Female"	"F"	17	Not Applicable	Not Applicable
	"1968"	"1968"	"Not Stated"	"NS"	"White"	"2106-3"	"Male"	"M"	71	Not Applicable	Not Applicable
	"1969"	"1969"	"< 1 year"	"1"	"Black or African American"	"2054-5"	"Female"	"F"	371	264186	140.4
	"1969"	"1969"	"< 1 year"	"1"	"Black or African American"	"2054-5"	"Male"	"M"	400	270036	148.1
	"1969"	"1969"	"< 1 year"	"1"	"Other Race"	"2131-1"	"Female"	"F"	20	27064	73.9
	"1969"	"1969"	"< 1 year"	"1"	"Other Race"	"2131-1"	"Male"	"M"	27	28820	93.7
	"1969"	"1969"	"< 1 year"	"1"	"White"	"2106-3"	"Female"	"F"	805	1462384	55.0
	"1969"	"1969"	"< 1 year"	"1"	"White"	"2106-3"	"Male"	"M"	1080	1547716	69.8
	"1969"	"1969"	"1-4 years"	"1-4"	"Black or African American"	"2054-5"	"Female"	"F"	547	1008000	54.3
	"1969"	"1969"	"1-4 years"	"1-4"	"Black or African American"	"2054-5"	"Male"	"M"	673	1014000	66.4
	"1969"	"1969"	"1-4 years"	"1-4"	"Other Race"	"2131-1"	"Female"	"F"	35	102000	34.3
	"1969"	"1969"	"1-4 years"	"1-4"	"Other Race"	"2131-1"	"Male"	"M"	61	103000	59.2
	"1969"	"1969"	"1-4 years"	"1-4"	"White"	"2106-3"	"Female"	"F"	1495	5742000	26.0
	"1969"	"1969"	"1-4 years"	"1-4"	"White"	"2106-3"	"Male"	"M"	2154	5994000	35.9
	"1969"	"1969"	"5-9 years"	"5-9"	"Black or African American"	"2054-5"	"Female"	"F"	334	1387000	24.1
	"1969"	"1969"	"5-9 years"	"5-9"	"Black or African American"	"2054-5"	"Male"	"M"	610	1389000	43.9
	"1969"	"1969"	"5-9 years"	"5-9"	"Other Race"	"2131-1"	"Female"	"F"	23	138000	16.7
	"1969"	"1969"	"5-9 years"	"5-9"	"Other Race"	"2131-1"	"Male"	"M"	44	140000	31.4
	"1969"	"1969"	"5-9 years"	"5-9"	"White"	"2106-3"	"Female"	"F"	1104	8407000	13.1
	"1969"	"1969"	"5-9 years"	"5-9"	"White"	"2106-3"	"Male"	"M"	2115	8781000	24.1
	"1969"	"1969"	"10-14 years"	"10-14"	"Black or African American"	"2054-5"	"Female"	"F"	232	1385000	16.8
	"1969"	"1969"	"10-14 years"	"10-14"	"Black or African American"	"2054-5"	"Male"	"M"	650	1389000	46.8
	"1969"	"1969"	"10-14 years"	"10-14"	"Other Race"	"2131-1"	"Female"	"F"	18	128000	14.1 (Unreliable)
	"1969"	"1969"	"10-14 years"	"10-14"	"Other Race"	"2131-1"	"Male"	"M"	44	128000	34.4
	"1969"	"1969"	"10-14 years"	"10-14"	"White"	"2106-3"	"Female"	"F"	1033	8615000	12.0
	"1969"	"1969"	"10-14 years"	"10-14"	"White"	"2106-3"	"Male"	"M"	2563	8996000	28.5
	"1969"	"1969"	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Female"	"F"	532	1182000	45.0
	"1969"	"1969"	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Male"	"M"	2078	1158000	179.4
	"1969"	"1969"	"15-19 years"	"15-19"	"Other Race"	"2131-1"	"Female"	"F"	61	116000	52.6
	"1969"	"1969"	"15-19 years"	"15-19"	"Other Race"	"2131-1"	"Male"	"M"	184	116000	158.6
	"1969"	"1969"	"15-19 years"	"15-19"	"White"	"2106-3"	"Female"	"F"	2827	7936000	35.6
	"1969"	"1969"	"15-19 years"	"15-19"	"White"	"2106-3"	"Male"	"M"	9741	8113000	120.1
	"1969"	"1969"	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Female"	"F"	587	931000	63.1
	"1969"	"1969"	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Male"	"M"	2645	798000	331.5
	"1969"	"1969"	"20-24 years"	"20-24"	"Other Race"	"2131-1"	"Female"	"F"	62	112000	55.4
	"1969"	"1969"	"20-24 years"	"20-24"	"Other Race"	"2131-1"	"Male"	"M"	216	105000	205.7
	"1969"	"1969"	"20-24 years"	"20-24"	"White"	"2106-3"	"Female"	"F"	2485	7144000	34.8
	"1969"	"1969"	"20-24 years"	"20-24"	"White"	"2106-3"	"Male"	"M"	10794	6677000	161.7
	"1969"	"1969"	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Female"	"F"	895	1425000	62.8
	"1969"	"1969"	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Male"	"M"	3863	1197000	322.7
	"1969"	"1969"	"25-34 years"	"25-34"	"Other Race"	"2131-1"	"Female"	"F"	110	192000	57.3
	"1969"	"1969"	"25-34 years"	"25-34"	"Other Race"	"2131-1"	"Male"	"M"	343	176000	194.9
	"1969"	"1969"	"25-34 years"	"25-34"	"White"	"2106-3"	"Female"	"F"	3401	10847000	31.4
	"1969"	"1969"	"25-34 years"	"25-34"	"White"	"2106-3"	"Male"	"M"	12177	10569000	115.2
	"1969"	"1969"	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Female"	"F"	867	1308000	66.3
	"1969"	"1969"	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Male"	"M"	3320	1086000	305.7
	"1969"	"1969"	"35-44 years"	"35-44"	"Other Race"	"2131-1"	"Female"	"F"	73	168000	43.5
	"1969"	"1969"	"35-44 years"	"35-44"	"Other Race"	"2131-1"	"Male"	"M"	217	144000	150.7
	"1969"	"1969"	"35-44 years"	"35-44"	"White"	"2106-3"	"Female"	"F"	4037	10471000	38.6
	"1969"	"1969"	"35-44 years"	"35-44"	"White"	"2106-3"	"Male"	"M"	10688	10065000	106.2
	"1969"	"1969"	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Female"	"F"	663	1118000	59.3
	"1969"	"1969"	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Male"	"M"	2505	968000	258.8
	"1969"	"1969"	"45-54 years"	"45-54"	"Other Race"	"2131-1"	"Female"	"F"	53	109000	48.6
	"1969"	"1969"	"45-54 years"	"45-54"	"Other Race"	"2131-1"	"Male"	"M"	194	112000	173.2
	"1969"	"1969"	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"	4692	10679000	43.9
	"1969"	"1969"	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	11520	10032000	114.8
	"1969"	"1969"	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Female"	"F"	486	851000	57.1
	"1969"	"1969"	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Male"	"M"	1682	729000	230.7
	"1969"	"1969"	"55-64 years"	"55-64"	"Other Race"	"2131-1"	"Female"	"F"	38	66000	57.6
	"1969"	"1969"	"55-64 years"	"55-64"	"Other Race"	"2131-1"	"Male"	"M"	160	84000	190.5
	"1969"	"1969"	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	4357	8761000	49.7
	"1969"	"1969"	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	10836	7898000	137.2
	"1969"	"1969"	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"	457	572000	79.9
	"1969"	"1969"	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Male"	"M"	968	455000	212.7
	"1969"	"1969"	"65-74 years"	"65-74"	"Other Race"	"2131-1"	"Female"	"F"	31	44000	70.5
	"1969"	"1969"	"65-74 years"	"65-74"	"Other Race"	"2131-1"	"Male"	"M"	128	51000	251.0
	"1969"	"1969"	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	4413	6289000	70.2
	"1969"	"1969"	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	8068	4890000	165.0
	"1969"	"1969"	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Female"	"F"	321	227000	141.4
	"1969"	"1969"	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Male"	"M"	396	167000	237.1
	"1969"	"1969"	"75-84 years"	"75-84"	"Other Race"	"2131-1"	"Female"	"F"	18	19000	94.7 (Unreliable)
	"1969"	"1969"	"75-84 years"	"75-84"	"Other Race"	"2131-1"	"Male"	"M"	73	21000	347.6
	"1969"	"1969"	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"	5528	3385000	163.3
	"1969"	"1969"	"75-84 years"	"75-84"	"White"	"2106-3"	"Male"	"M"	6335	2252000	281.3
	"1969"	"1969"	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Female"	"F"	166	60000	276.7
	"1969"	"1969"	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Male"	"M"	120	37000	324.3
	"1969"	"1969"	"85+ years"	"85+"	"Other Race"	"2131-1"	"Female"	"F"	16	5000	320.0 (Unreliable)
	"1969"	"1969"	"85+ years"	"85+"	"Other Race"	"2131-1"	"Male"	"M"	27	7000	385.7
	"1969"	"1969"	"85+ years"	"85+"	"White"	"2106-3"	"Female"	"F"	3771	783000	481.6
	"1969"	"1969"	"85+ years"	"85+"	"White"	"2106-3"	"Male"	"M"	2553	415000	615.2
	"1969"	"1969"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	"Female"	"F"	11	Not Applicable	Not Applicable
	"1969"	"1969"	"Not Stated"	"NS"	"Black or African American"	"2054-5"	"Male"	"M"	29	Not Applicable	Not Applicable
	"1969"	"1969"	"Not Stated"	"NS"	"Other Race"	"2131-1"	"Female"	"F"	1	Not Applicable	Not Applicable
	"1969"	"1969"	"Not Stated"	"NS"	"Other Race"	"2131-1"	"Male"	"M"	1	Not Applicable	Not Applicable
	"1969"	"1969"	"Not Stated"	"NS"	"White"	"2106-3"	"Female"	"F"	31	Not Applicable	Not Applicable
	"1969"	"1969"	"Not Stated"	"NS"	"White"	"2106-3"	"Male"	"M"	84	Not Applicable	Not Applicable
	"1970"	"1970"	"< 1 year"	"1"	"Black or African American"	"2054-5"	"Female"	"F"	338	276702	122.2
	"1970"	"1970"	"< 1 year"	"1"	"Black or African American"	"2054-5"	"Male"	"M"	433	285290	151.8
	"1970"	"1970"	"< 1 year"	"1"	"Other Race"	"2131-1"	"Female"	"F"	28	29030	96.5
	"1970"	"1970"	"< 1 year"	"1"	"Other Race"	"2131-1"	"Male"	"M"	29	30408	95.4
	"1970"	"1970"	"< 1 year"	"1"	"White"	"2106-3"	"Female"	"F"	807	1510276	53.4
	"1970"	"1970"	"< 1 year"	"1"	"White"	"2106-3"	"Male"	"M"	935	1599680	58.4
	"1970"	"1970"	"1-4 years"	"1-4"	"Black or African American"	"2054-5"	"Female"	"F"	505	970376	52.0
	"1970"	"1970"	"1-4 years"	"1-4"	"Black or African American"	"2054-5"	"Male"	"M"	621	975063	63.7
	"1970"	"1970"	"1-4 years"	"1-4"	"Other Race"	"2131-1"	"Female"	"F"	41	116132	35.3
	"1970"	"1970"	"1-4 years"	"1-4"	"Other Race"	"2131-1"	"Male"	"M"	58	119438	48.6
	"1970"	"1970"	"1-4 years"	"1-4"	"White"	"2106-3"	"Female"	"F"	1389	5614968	24.7
	"1970"	"1970"	"1-4 years"	"1-4"	"White"	"2106-3"	"Male"	"M"	2119	5873083	36.1
	"1970"	"1970"	"5-9 years"	"5-9"	"Black or African American"	"2054-5"	"Female"	"F"	352	1370073	25.7
	"1970"	"1970"	"5-9 years"	"5-9"	"Black or African American"	"2054-5"	"Male"	"M"	581	1377355	42.2
	"1970"	"1970"	"5-9 years"	"5-9"	"Other Race"	"2131-1"	"Female"	"F"	29	153345	18.9
	"1970"	"1970"	"5-9 years"	"5-9"	"Other Race"	"2131-1"	"Male"	"M"	30	158048	19.0
	"1970"	"1970"	"5-9 years"	"5-9"	"White"	"2106-3"	"Female"	"F"	1057	8264333	12.8
	"1970"	"1970"	"5-9 years"	"5-9"	"White"	"2106-3"	"Male"	"M"	2119	8633093	24.5
	"1970"	"1970"	"10-14 years"	"10-14"	"Black or African American"	"2054-5"	"Female"	"F"	237	1403154	16.9
	"1970"	"1970"	"10-14 years"	"10-14"	"Black or African American"	"2054-5"	"Male"	"M"	635	1406715	45.1
	"1970"	"1970"	"10-14 years"	"10-14"	"Other Race"	"2131-1"	"Female"	"F"	20	148185	13.5
	"1970"	"1970"	"10-14 years"	"10-14"	"Other Race"	"2131-1"	"Male"	"M"	56	150297	37.3
	"1970"	"1970"	"10-14 years"	"10-14"	"White"	"2106-3"	"Female"	"F"	1027	8647392	11.9
	"1970"	"1970"	"10-14 years"	"10-14"	"White"	"2106-3"	"Male"	"M"	2708	9033725	30.0
	"1970"	"1970"	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Female"	"F"	459	1221440	37.6
	"1970"	"1970"	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Male"	"M"	2114	1201605	175.9
	"1970"	"1970"	"15-19 years"	"15-19"	"Other Race"	"2131-1"	"Female"	"F"	57	135971	41.9
	"1970"	"1970"	"15-19 years"	"15-19"	"Other Race"	"2131-1"	"Male"	"M"	186	140972	131.9
	"1970"	"1970"	"15-19 years"	"15-19"	"White"	"2106-3"	"Female"	"F"	2833	8079090	35.1
	"1970"	"1970"	"15-19 years"	"15-19"	"White"	"2106-3"	"Male"	"M"	9628	8291270	116.1
	"1970"	"1970"	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Female"	"F"	615	974372	63.1
	"1970"	"1970"	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Male"	"M"	2961	839848	352.6
	"1970"	"1970"	"20-24 years"	"20-24"	"Other Race"	"2131-1"	"Female"	"F"	84	138373	60.7
	"1970"	"1970"	"20-24 years"	"20-24"	"Other Race"	"2131-1"	"Male"	"M"	246	136601	180.1
	"1970"	"1970"	"20-24 years"	"20-24"	"White"	"2106-3"	"Female"	"F"	2691	7341007	36.7
	"1970"	"1970"	"20-24 years"	"20-24"	"White"	"2106-3"	"Male"	"M"	10834	6940820	156.1
	"1970"	"1970"	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Female"	"F"	939	1455562	64.5
	"1970"	"1970"	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Male"	"M"	4148	1225630	338.4
	"1970"	"1970"	"25-34 years"	"25-34"	"Other Race"	"2131-1"	"Female"	"F"	112	230020	48.7
	"1970"	"1970"	"25-34 years"	"25-34"	"Other Race"	"2131-1"	"Male"	"M"	281	216866	129.6
	"1970"	"1970"	"25-34 years"	"25-34"	"White"	"2106-3"	"Female"	"F"	3569	11004490	32.4
	"1970"	"1970"	"25-34 years"	"25-34"	"White"	"2106-3"	"Male"	"M"	12297	10774861	114.1
	"1970"	"1970"	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Female"	"F"	867	1309316	66.2
	"1970"	"1970"	"35-44 years"	"35-44"	"Black or African American"	"2054-5"	"Male"	"M"	3212	1084276	296.2
	"1970"	"1970"	"35-44 years"	"35-44"	"Other Race"	"2131-1"	"Female"	"F"	97	198424	48.9
	"1970"	"1970"	"35-44 years"	"35-44"	"Other Race"	"2131-1"	"Male"	"M"	204	168088	121.4
	"1970"	"1970"	"35-44 years"	"35-44"	"White"	"2106-3"	"Female"	"F"	3970	10348829	38.4
	"1970"	"1970"	"35-44 years"	"35-44"	"White"	"2106-3"	"Male"	"M"	10667	9978872	106.9
	"1970"	"1970"	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Female"	"F"	703	1133625	62.0
	"1970"	"1970"	"45-54 years"	"45-54"	"Black or African American"	"2054-5"	"Male"	"M"	2756	978621	281.6
	"1970"	"1970"	"45-54 years"	"45-54"	"Other Race"	"2131-1"	"Female"	"F"	65	130757	49.7
	"1970"	"1970"	"45-54 years"	"45-54"	"Other Race"	"2131-1"	"Male"	"M"	178	130455	136.4
	"1970"	"1970"	"45-54 years"	"45-54"	"White"	"2106-3"	"Female"	"F"	4803	10756325	44.7
	"1970"	"1970"	"45-54 years"	"45-54"	"White"	"2106-3"	"Male"	"M"	11737	10090174	116.3
	"1970"	"1970"	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Female"	"F"	473	868176	54.5
	"1970"	"1970"	"55-64 years"	"55-64"	"Black or African American"	"2054-5"	"Male"	"M"	1743	739129	235.8
	"1970"	"1970"	"55-64 years"	"55-64"	"Other Race"	"2131-1"	"Female"	"F"	27	75795	35.6
	"1970"	"1970"	"55-64 years"	"55-64"	"Other Race"	"2131-1"	"Male"	"M"	147	95500	153.9
	"1970"	"1970"	"55-64 years"	"55-64"	"White"	"2106-3"	"Female"	"F"	4367	8853048	49.3
	"1970"	"1970"	"55-64 years"	"55-64"	"White"	"2106-3"	"Male"	"M"	10936	7958164	137.4
	"1970"	"1970"	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Female"	"F"	489	581881	84.0
	"1970"	"1970"	"65-74 years"	"65-74"	"Black or African American"	"2054-5"	"Male"	"M"	1013	460939	219.8
	"1970"	"1970"	"65-74 years"	"65-74"	"Other Race"	"2131-1"	"Female"	"F"	34	50880	66.8
	"1970"	"1970"	"65-74 years"	"65-74"	"Other Race"	"2131-1"	"Male"	"M"	122	60619	201.3
	"1970"	"1970"	"65-74 years"	"65-74"	"White"	"2106-3"	"Female"	"F"	4330	6365611	68.0
	"1970"	"1970"	"65-74 years"	"65-74"	"White"	"2106-3"	"Male"	"M"	8294	4915526	168.7
	"1970"	"1970"	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Female"	"F"	327	229917	142.2
	"1970"	"1970"	"75-84 years"	"75-84"	"Black or African American"	"2054-5"	"Male"	"M"	404	168633	239.6
	"1970"	"1970"	"75-84 years"	"75-84"	"Other Race"	"2131-1"	"Female"	"F"	20	23782	84.1
	"1970"	"1970"	"75-84 years"	"75-84"	"Other Race"	"2131-1"	"Male"	"M"	61	24420	249.8
	"1970"	"1970"	"75-84 years"	"75-84"	"White"	"2106-3"	"Female"	"F"	5394	3429201	157.3
	"1970"	"1970"	"75-84 years"	"75-84"	"White"	"2106-3"	"Male"	"M"	6241	2243192	278.2
	"1970"	"1970"	"85+ years"	"85+"	"Black or African American"	"2054-5"	"Female"	"F"	157	71386	219.9
