"Notes"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1968"	"1968"	"Congenital anomalies"	"740-759"	702	258270	271.8
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1968"	"1968"	"Certain causes of perinatal mortality"	"760-778"	4523	258270	1751.3
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1968"	"1968"	"Symptoms and ill-defined conditions"	"780-796"	574	258270	222.2
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1968"	"1968"	"Accidents, poisonings, and violence (external cause)"	"E800-E999"	382	258270	147.9
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1969"	"1969"	"Infective and parasitic diseases"	"000-136"	355	264186	134.4
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1969"	"1969"	"Neoplasms"	"140-239"	12	264186	4.5 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1969"	"1969"	"Endocrine, nutritional, and metabolic diseases"	"240-279"	73	264186	27.6
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1969"	"1969"	"Diseases of the blood and blood-forming organs"	"280-289"	22	264186	8.3
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1969"	"1969"	"Mental disorders"	"290-315"	2	264186	0.8 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1969"	"1969"	"Diseases of the nervous system and sense organs"	"320-389"	122	264186	46.2
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1969"	"1969"	"Diseases of the circulatory system"	"390-458"	79	264186	29.9
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1969"	"1969"	"Diseases of the respiratory system"	"460-519"	1389	264186	525.8
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1969"	"1969"	"Diseases of the digestive system"	"520-577"	91	264186	34.4
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1969"	"1969"	"Diseases of the genitourinary system"	"580-629"	20	264186	7.6
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1969"	"1969"	"Complications of pregnancy, childbirth, and the puerperium"	"630-678"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1969"	"1969"	"Diseases of the skin and subcutaneous tissue"	"680-709"	7	264186	2.6 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1969"	"1969"	"Diseases of the musculoskeletal system and connective tissue"	"710-738"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1969"	"1969"	"Congenital anomalies"	"740-759"	757	264186	286.5
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1969"	"1969"	"Certain causes of perinatal mortality"	"760-778"	4456	264186	1686.7
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1969"	"1969"	"Symptoms and ill-defined conditions"	"780-796"	604	264186	228.6
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1969"	"1969"	"Accidents, poisonings, and violence (external cause)"	"E800-E999"	371	264186	140.4
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1970"	"1970"	"Infective and parasitic diseases"	"000-136"	341	276702	123.2
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1970"	"1970"	"Neoplasms"	"140-239"	13	276702	4.7 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1970"	"1970"	"Endocrine, nutritional, and metabolic diseases"	"240-279"	49	276702	17.7
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1970"	"1970"	"Diseases of the blood and blood-forming organs"	"280-289"	18	276702	6.5 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1970"	"1970"	"Mental disorders"	"290-315"	3	276702	1.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1970"	"1970"	"Diseases of the nervous system and sense organs"	"320-389"	113	276702	40.8
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1970"	"1970"	"Diseases of the circulatory system"	"390-458"	102	276702	36.9
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1970"	"1970"	"Diseases of the respiratory system"	"460-519"	1227	276702	443.4
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1970"	"1970"	"Diseases of the digestive system"	"520-577"	106	276702	38.3
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1970"	"1970"	"Diseases of the genitourinary system"	"580-629"	8	276702	2.9 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1970"	"1970"	"Complications of pregnancy, childbirth, and the puerperium"	"630-678"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1970"	"1970"	"Diseases of the skin and subcutaneous tissue"	"680-709"	9	276702	3.3 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1970"	"1970"	"Diseases of the musculoskeletal system and connective tissue"	"710-738"	1	276702	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1970"	"1970"	"Congenital anomalies"	"740-759"	749	276702	270.7
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1970"	"1970"	"Certain causes of perinatal mortality"	"760-778"	4503	276702	1627.4
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1970"	"1970"	"Symptoms and ill-defined conditions"	"780-796"	596	276702	215.4
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1970"	"1970"	"Accidents, poisonings, and violence (external cause)"	"E800-E999"	338	276702	122.2
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1971"	"1971"	"Infective and parasitic diseases"	"000-136"	358	272898	131.2
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1971"	"1971"	"Neoplasms"	"140-239"	13	272898	4.8 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1971"	"1971"	"Endocrine, nutritional, and metabolic diseases"	"240-279"	60	272898	22.0
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1971"	"1971"	"Diseases of the blood and blood-forming organs"	"280-289"	31	272898	11.4
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1971"	"1971"	"Mental disorders"	"290-315"	1	272898	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1971"	"1971"	"Diseases of the nervous system and sense organs"	"320-389"	119	272898	43.6
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1971"	"1971"	"Diseases of the circulatory system"	"390-458"	134	272898	49.1
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1971"	"1971"	"Diseases of the respiratory system"	"460-519"	1009	272898	369.7
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1971"	"1971"	"Diseases of the digestive system"	"520-577"	106	272898	38.8
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1971"	"1971"	"Diseases of the genitourinary system"	"580-629"	11	272898	4.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1971"	"1971"	"Complications of pregnancy, childbirth, and the puerperium"	"630-678"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1971"	"1971"	"Diseases of the skin and subcutaneous tissue"	"680-709"	7	272898	2.6 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1971"	"1971"	"Diseases of the musculoskeletal system and connective tissue"	"710-738"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1971"	"1971"	"Congenital anomalies"	"740-759"	662	272898	242.6
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1971"	"1971"	"Certain causes of perinatal mortality"	"760-778"	4152	272898	1521.4
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1971"	"1971"	"Symptoms and ill-defined conditions"	"780-796"	604	272898	221.3
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1971"	"1971"	"Accidents, poisonings, and violence (external cause)"	"E800-E999"	329	272898	120.6
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1972"	"1972"	"Infective and parasitic diseases"	"000-136"	330	256575	128.6
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1972"	"1972"	"Neoplasms"	"140-239"	12	256575	4.7 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1972"	"1972"	"Endocrine, nutritional, and metabolic diseases"	"240-279"	42	256575	16.4
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1972"	"1972"	"Diseases of the blood and blood-forming organs"	"280-289"	34	256575	13.3
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1972"	"1972"	"Mental disorders"	"290-315"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1972"	"1972"	"Diseases of the nervous system and sense organs"	"320-389"	134	256575	52.2
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1972"	"1972"	"Diseases of the circulatory system"	"390-458"	148	256575	57.7
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1972"	"1972"	"Diseases of the respiratory system"	"460-519"	828	256575	322.7
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1972"	"1972"	"Diseases of the digestive system"	"520-577"	76	256575	29.6
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1972"	"1972"	"Diseases of the genitourinary system"	"580-629"	4	256575	1.6 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1972"	"1972"	"Complications of pregnancy, childbirth, and the puerperium"	"630-678"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1972"	"1972"	"Diseases of the skin and subcutaneous tissue"	"680-709"	4	256575	1.6 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1972"	"1972"	"Diseases of the musculoskeletal system and connective tissue"	"710-738"	2	256575	0.8 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1972"	"1972"	"Congenital anomalies"	"740-759"	704	256575	274.4
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1972"	"1972"	"Certain causes of perinatal mortality"	"760-778"	3864	256575	1506.0
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1972"	"1972"	"Symptoms and ill-defined conditions"	"780-796"	592	256575	230.7
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1972"	"1972"	"Accidents, poisonings, and violence (external cause)"	"E800-E999"	254	256575	99.0
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1973"	"1973"	"Infective and parasitic diseases"	"000-136"	279	246775	113.1
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1973"	"1973"	"Neoplasms"	"140-239"	12	246775	4.9 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1973"	"1973"	"Endocrine, nutritional, and metabolic diseases"	"240-279"	36	246775	14.6
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1973"	"1973"	"Diseases of the blood and blood-forming organs"	"280-289"	24	246775	9.7
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1973"	"1973"	"Mental disorders"	"290-315"	1	246775	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1973"	"1973"	"Diseases of the nervous system and sense organs"	"320-389"	118	246775	47.8
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1973"	"1973"	"Diseases of the circulatory system"	"390-458"	135	246775	54.7
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1973"	"1973"	"Diseases of the respiratory system"	"460-519"	685	246775	277.6
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1973"	"1973"	"Diseases of the digestive system"	"520-577"	92	246775	37.3
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1973"	"1973"	"Diseases of the genitourinary system"	"580-629"	9	246775	3.6 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1973"	"1973"	"Complications of pregnancy, childbirth, and the puerperium"	"630-678"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1973"	"1973"	"Diseases of the skin and subcutaneous tissue"	"680-709"	4	246775	1.6 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1973"	"1973"	"Diseases of the musculoskeletal system and connective tissue"	"710-738"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1973"	"1973"	"Congenital anomalies"	"740-759"	635	246775	257.3
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1973"	"1973"	"Certain causes of perinatal mortality"	"760-778"	3426	246775	1388.3
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1973"	"1973"	"Symptoms and ill-defined conditions"	"780-796"	640	246775	259.3
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1973"	"1973"	"Accidents, poisonings, and violence (external cause)"	"E800-E999"	272	246775	110.2
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1974"	"1974"	"Infective and parasitic diseases"	"000-136"	262	243435	107.6
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1974"	"1974"	"Neoplasms"	"140-239"	11	243435	4.5 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1974"	"1974"	"Endocrine, nutritional, and metabolic diseases"	"240-279"	35	243435	14.4
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1974"	"1974"	"Diseases of the blood and blood-forming organs"	"280-289"	19	243435	7.8 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1974"	"1974"	"Mental disorders"	"290-315"	3	243435	1.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1974"	"1974"	"Diseases of the nervous system and sense organs"	"320-389"	133	243435	54.6
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1974"	"1974"	"Diseases of the circulatory system"	"390-458"	131	243435	53.8
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1974"	"1974"	"Diseases of the respiratory system"	"460-519"	502	243435	206.2
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1974"	"1974"	"Diseases of the digestive system"	"520-577"	66	243435	27.1
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1974"	"1974"	"Diseases of the genitourinary system"	"580-629"	9	243435	3.7 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1974"	"1974"	"Complications of pregnancy, childbirth, and the puerperium"	"630-678"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1974"	"1974"	"Diseases of the skin and subcutaneous tissue"	"680-709"	5	243435	2.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1974"	"1974"	"Diseases of the musculoskeletal system and connective tissue"	"710-738"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1974"	"1974"	"Congenital anomalies"	"740-759"	591	243435	242.8
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1974"	"1974"	"Certain causes of perinatal mortality"	"760-778"	3323	243435	1365.0
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1974"	"1974"	"Symptoms and ill-defined conditions"	"780-796"	700	243435	287.6
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1974"	"1974"	"Accidents, poisonings, and violence (external cause)"	"E800-E999"	222	243435	91.2
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1975"	"1975"	"Infective and parasitic diseases"	"000-136"	301	244882	122.9
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1975"	"1975"	"Neoplasms"	"140-239"	11	244882	4.5 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1975"	"1975"	"Endocrine, nutritional, and metabolic diseases"	"240-279"	36	244882	14.7
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1975"	"1975"	"Diseases of the blood and blood-forming organs"	"280-289"	23	244882	9.4
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1975"	"1975"	"Mental disorders"	"290-315"	1	244882	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1975"	"1975"	"Diseases of the nervous system and sense organs"	"320-389"	128	244882	52.3
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1975"	"1975"	"Diseases of the circulatory system"	"390-458"	102	244882	41.7
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1975"	"1975"	"Diseases of the respiratory system"	"460-519"	405	244882	165.4
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1975"	"1975"	"Diseases of the digestive system"	"520-577"	94	244882	38.4
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1975"	"1975"	"Diseases of the genitourinary system"	"580-629"	19	244882	7.8 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1975"	"1975"	"Complications of pregnancy, childbirth, and the puerperium"	"630-678"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1975"	"1975"	"Diseases of the skin and subcutaneous tissue"	"680-709"	4	244882	1.6 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1975"	"1975"	"Diseases of the musculoskeletal system and connective tissue"	"710-738"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1975"	"1975"	"Congenital anomalies"	"740-759"	625	244882	255.2
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1975"	"1975"	"Certain causes of perinatal mortality"	"760-778"	3326	244882	1358.2
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1975"	"1975"	"Symptoms and ill-defined conditions"	"780-796"	751	244882	306.7
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1975"	"1975"	"Accidents, poisonings, and violence (external cause)"	"E800-E999"	230	244882	93.9
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1976"	"1976"	"Infective and parasitic diseases"	"000-136"	340	245968	138.2
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1976"	"1976"	"Neoplasms"	"140-239"	3	245968	1.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1976"	"1976"	"Endocrine, nutritional, and metabolic diseases"	"240-279"	34	245968	13.8
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1976"	"1976"	"Diseases of the blood and blood-forming organs"	"280-289"	25	245968	10.2
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1976"	"1976"	"Mental disorders"	"290-315"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1976"	"1976"	"Diseases of the nervous system and sense organs"	"320-389"	129	245968	52.4
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1976"	"1976"	"Diseases of the circulatory system"	"390-458"	123	245968	50.0
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1976"	"1976"	"Diseases of the respiratory system"	"460-519"	385	245968	156.5
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1976"	"1976"	"Diseases of the digestive system"	"520-577"	79	245968	32.1
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1976"	"1976"	"Diseases of the genitourinary system"	"580-629"	15	245968	6.1 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1976"	"1976"	"Complications of pregnancy, childbirth, and the puerperium"	"630-678"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1976"	"1976"	"Diseases of the skin and subcutaneous tissue"	"680-709"	2	245968	0.8 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1976"	"1976"	"Diseases of the musculoskeletal system and connective tissue"	"710-738"	1	245968	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1976"	"1976"	"Congenital anomalies"	"740-759"	657	245968	267.1
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1976"	"1976"	"Certain causes of perinatal mortality"	"760-778"	3162	245968	1285.5
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1976"	"1976"	"Symptoms and ill-defined conditions"	"780-796"	735	245968	298.8
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1976"	"1976"	"Accidents, poisonings, and violence (external cause)"	"E800-E999"	197	245968	80.1
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1977"	"1977"	"Infective and parasitic diseases"	"000-136"	310	259836	119.3
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1977"	"1977"	"Neoplasms"	"140-239"	11	259836	4.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1977"	"1977"	"Endocrine, nutritional, and metabolic diseases"	"240-279"	25	259836	9.6
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1977"	"1977"	"Diseases of the blood and blood-forming organs"	"280-289"	24	259836	9.2
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1977"	"1977"	"Mental disorders"	"290-315"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1977"	"1977"	"Diseases of the nervous system and sense organs"	"320-389"	120	259836	46.2
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1977"	"1977"	"Diseases of the circulatory system"	"390-458"	124	259836	47.7
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1977"	"1977"	"Diseases of the respiratory system"	"460-519"	352	259836	135.5
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1977"	"1977"	"Diseases of the digestive system"	"520-577"	65	259836	25.0
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1977"	"1977"	"Diseases of the genitourinary system"	"580-629"	24	259836	9.2
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1977"	"1977"	"Complications of pregnancy, childbirth, and the puerperium"	"630-678"	0	0	0.0 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1977"	"1977"	"Diseases of the skin and subcutaneous tissue"	"680-709"	3	259836	1.2 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1977"	"1977"	"Diseases of the musculoskeletal system and connective tissue"	"710-738"	1	259836	0.4 (Unreliable)
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1977"	"1977"	"Congenital anomalies"	"740-759"	659	259836	253.6
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1977"	"1977"	"Certain causes of perinatal mortality"	"760-778"	3035	259836	1168.0
	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"1977"	"1977"	"Symptoms and ill-defined conditions"	"780-796"	790	259836	304.0
