"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"1979"	"1979"	"25-34 years"	"25-34"	"Male"	"M"	"Other Race"	"2131-1"	508	403000	126.1
	"1979"	"1979"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	18298	15573000	117.5
	"1979"	"1979"	"35-44 years"	"35-44"	"Female"	"F"	"Black or African American"	"2054-5"	662	1458000	45.4
	"1979"	"1979"	"35-44 years"	"35-44"	"Female"	"F"	"Other Race"	"2131-1"	104	301000	34.6
	"1979"	"1979"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	3505	11042000	31.7
	"1979"	"1979"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	2848	1212000	235.0
	"1979"	"1979"	"35-44 years"	"35-44"	"Male"	"M"	"Other Race"	"2131-1"	278	266000	104.5
	"1979"	"1979"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	10259	10835000	94.7
	"1979"	"1979"	"45-54 years"	"45-54"	"Female"	"F"	"Black or African American"	"2054-5"	555	1251000	44.4
	"1979"	"1979"	"45-54 years"	"45-54"	"Female"	"F"	"Other Race"	"2131-1"	87	228000	38.2
	"1979"	"1979"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	3604	10389000	34.7
	"1979"	"1979"	"45-54 years"	"45-54"	"Male"	"M"	"Black or African American"	"2054-5"	2210	1024000	215.8
	"1979"	"1979"	"45-54 years"	"45-54"	"Male"	"M"	"Other Race"	"2131-1"	168	190000	88.4
	"1979"	"1979"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	9210	9853000	93.5
	"1979"	"1979"	"55-64 years"	"55-64"	"Female"	"F"	"Black or African American"	"2054-5"	491	1044000	47.0
	"1979"	"1979"	"55-64 years"	"55-64"	"Female"	"F"	"Other Race"	"2131-1"	49	147000	33.3
	"1979"	"1979"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	3714	10216000	36.4
	"1979"	"1979"	"55-64 years"	"55-64"	"Male"	"M"	"Black or African American"	"2054-5"	1580	845000	187.0
	"1979"	"1979"	"55-64 years"	"55-64"	"Male"	"M"	"Other Race"	"2131-1"	155	135000	114.8
	"1979"	"1979"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	8824	9061000	97.4
	"1979"	"1979"	"65-74 years"	"65-74"	"Female"	"F"	"Black or African American"	"2054-5"	456	766000	59.5
	"1979"	"1979"	"65-74 years"	"65-74"	"Female"	"F"	"Other Race"	"2131-1"	51	83000	61.4
	"1979"	"1979"	"65-74 years"	"65-74"	"Female"	"F"	"White"	"2106-3"	3821	7841000	48.7
	"1979"	"1979"	"65-74 years"	"65-74"	"Male"	"M"	"Black or African American"	"2054-5"	1028	564000	182.3
	"1979"	"1979"	"65-74 years"	"65-74"	"Male"	"M"	"Other Race"	"2131-1"	94	87000	108.0
	"1979"	"1979"	"65-74 years"	"65-74"	"Male"	"M"	"White"	"2106-3"	7372	5997000	122.9
	"1979"	"1979"	"75-84 years"	"75-84"	"Female"	"F"	"Black or African American"	"2054-5"	367	360000	101.9
	"1979"	"1979"	"75-84 years"	"75-84"	"Female"	"F"	"Other Race"	"2131-1"	39	36000	108.3
	"1979"	"1979"	"75-84 years"	"75-84"	"Female"	"F"	"White"	"2106-3"	4493	4373000	102.7
	"1979"	"1979"	"75-84 years"	"75-84"	"Male"	"M"	"Black or African American"	"2054-5"	534	238000	224.4
	"1979"	"1979"	"75-84 years"	"75-84"	"Male"	"M"	"Other Race"	"2131-1"	69	29000	237.9
	"1979"	"1979"	"75-84 years"	"75-84"	"Male"	"M"	"White"	"2106-3"	5530	2562000	215.8
	"1979"	"1979"	"85+ years"	"85+"	"Female"	"F"	"Black or African American"	"2054-5"	232	104000	223.1
	"1979"	"1979"	"85+ years"	"85+"	"Female"	"F"	"Other Race"	"2131-1"	21	10000	210.0
	"1979"	"1979"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	3564	1407000	253.3
	"1979"	"1979"	"85+ years"	"85+"	"Male"	"M"	"Black or African American"	"2054-5"	199	52000	382.7
	"1979"	"1979"	"85+ years"	"85+"	"Male"	"M"	"Other Race"	"2131-1"	31	7000	442.9
	"1979"	"1979"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	2578	617000	417.8
	"1979"	"1979"	"Not Stated"	"NS"	"Female"	"F"	"Black or African American"	"2054-5"	6	Not Applicable	Not Applicable
	"1979"	"1979"	"Not Stated"	"NS"	"Female"	"F"	"Other Race"	"2131-1"	1	Not Applicable	Not Applicable
	"1979"	"1979"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	41	Not Applicable	Not Applicable
	"1979"	"1979"	"Not Stated"	"NS"	"Male"	"M"	"Black or African American"	"2054-5"	43	Not Applicable	Not Applicable
	"1979"	"1979"	"Not Stated"	"NS"	"Male"	"M"	"Other Race"	"2131-1"	3	Not Applicable	Not Applicable
	"1979"	"1979"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	163	Not Applicable	Not Applicable
	"1980"	"1980"	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	181	280084	64.6
	"1980"	"1980"	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	15	52564	28.5 (Unreliable)
	"1980"	"1980"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	431	1426994	30.2
	"1980"	"1980"	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	245	287996	85.1
	"1980"	"1980"	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	21	55263	38.0
	"1980"	"1980"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	551	1509357	36.5
	"1980"	"1980"	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	376	950534	39.6
	"1980"	"1980"	"1-4 years"	"1-4"	"Female"	"F"	"Other Race"	"2131-1"	44	181334	24.3
	"1980"	"1980"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	1075	5127023	21.0
	"1980"	"1980"	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	514	967347	53.1
	"1980"	"1980"	"1-4 years"	"1-4"	"Male"	"M"	"Other Race"	"2131-1"	63	185942	33.9
	"1980"	"1980"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	1660	5402382	30.7
	"1980"	"1980"	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	216	1242096	17.4
	"1980"	"1980"	"5-9 years"	"5-9"	"Female"	"F"	"Other Race"	"2131-1"	33	230563	14.3
	"1980"	"1980"	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	701	6688217	10.5
	"1980"	"1980"	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	417	1262180	33.0
	"1980"	"1980"	"5-9 years"	"5-9"	"Male"	"M"	"Other Race"	"2131-1"	48	237934	20.2
	"1980"	"1980"	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	1215	7038966	17.3
	"1980"	"1980"	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	166	1335911	12.4
	"1980"	"1980"	"10-14 years"	"10-14"	"Female"	"F"	"Other Race"	"2131-1"	37	220807	16.8
	"1980"	"1980"	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	762	7369190	10.3
	"1980"	"1980"	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	383	1351353	28.3
	"1980"	"1980"	"10-14 years"	"10-14"	"Male"	"M"	"Other Race"	"2131-1"	44	230818	19.1
	"1980"	"1980"	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	1841	7734050	23.8
	"1980"	"1980"	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	384	1504109	25.5
	"1980"	"1980"	"15-19 years"	"15-19"	"Female"	"F"	"Other Race"	"2131-1"	79	231385	34.1
	"1980"	"1980"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	3301	8677221	38.0
	"1980"	"1980"	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	1581	1497744	105.6
	"1980"	"1980"	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	279	244346	114.2
	"1980"	"1980"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	10935	9013319	121.3
	"1980"	"1980"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	674	1433135	47.0
	"1980"	"1980"	"20-24 years"	"20-24"	"Female"	"F"	"Other Race"	"2131-1"	93	246887	37.7
	"1980"	"1980"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	3404	8975451	37.9
	"1980"	"1980"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	3059	1308760	233.7
	"1980"	"1980"	"20-24 years"	"20-24"	"Male"	"M"	"Other Race"	"2131-1"	370	244998	151.0
	"1980"	"1980"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	14635	9109473	160.7
	"1980"	"1980"	"25-34 years"	"25-34"	"Female"	"F"	"Black or African American"	"2054-5"	1170	2267154	51.6
	"1980"	"1980"	"25-34 years"	"25-34"	"Female"	"F"	"Other Race"	"2131-1"	203	536691	37.8
	"1980"	"1980"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	4748	15896091	29.9
	"1980"	"1980"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	5207	1967134	264.7
	"1980"	"1980"	"25-34 years"	"25-34"	"Male"	"M"	"Other Race"	"2131-1"	518	475052	109.0
	"1980"	"1980"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	19397	15939717	121.7
	"1980"	"1980"	"35-44 years"	"35-44"	"Female"	"F"	"Black or African American"	"2054-5"	681	1487812	45.8
	"1980"	"1980"	"35-44 years"	"35-44"	"Female"	"F"	"Other Race"	"2131-1"	115	345585	33.3
	"1980"	"1980"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	3405	11231594	30.3
	"1980"	"1980"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	2797	1235256	226.4
	"1980"	"1980"	"35-44 years"	"35-44"	"Male"	"M"	"Other Race"	"2131-1"	294	324532	90.6
	"1980"	"1980"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	10604	11009931	96.3
	"1980"	"1980"	"45-54 years"	"45-54"	"Female"	"F"	"Black or African American"	"2054-5"	529	1257538	42.1
	"1980"	"1980"	"45-54 years"	"45-54"	"Female"	"F"	"Other Race"	"2131-1"	89	248249	35.9
	"1980"	"1980"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	3404	10285081	33.1
	"1980"	"1980"	"45-54 years"	"45-54"	"Male"	"M"	"Black or African American"	"2054-5"	2200	1024110	214.8
	"1980"	"1980"	"45-54 years"	"45-54"	"Male"	"M"	"Other Race"	"2131-1"	174	210804	82.5
	"1980"	"1980"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	9084	9774005	92.9
	"1980"	"1980"	"55-64 years"	"55-64"	"Female"	"F"	"Black or African American"	"2054-5"	508	1059334	48.0
	"1980"	"1980"	"55-64 years"	"55-64"	"Female"	"F"	"Other Race"	"2131-1"	54	166618	32.4
	"1980"	"1980"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	3600	10325168	34.9
	"1980"	"1980"	"55-64 years"	"55-64"	"Male"	"M"	"Black or African American"	"2054-5"	1670	853941	195.6
	"1980"	"1980"	"55-64 years"	"55-64"	"Male"	"M"	"Other Race"	"2131-1"	138	147104	93.8
	"1980"	"1980"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	8648	9150710	94.5
	"1980"	"1980"	"65-74 years"	"65-74"	"Female"	"F"	"Black or African American"	"2054-5"	540	776085	69.6
	"1980"	"1980"	"65-74 years"	"65-74"	"Female"	"F"	"Other Race"	"2131-1"	37	96689	38.3
	"1980"	"1980"	"65-74 years"	"65-74"	"Female"	"F"	"White"	"2106-3"	3763	7951329	47.3
	"1980"	"1980"	"65-74 years"	"65-74"	"Male"	"M"	"Black or African American"	"2054-5"	1062	567030	187.3
	"1980"	"1980"	"65-74 years"	"65-74"	"Male"	"M"	"Other Race"	"2131-1"	125	93722	133.4
	"1980"	"1980"	"65-74 years"	"65-74"	"Male"	"M"	"White"	"2106-3"	7240	6095750	118.8
	"1980"	"1980"	"75-84 years"	"75-84"	"Female"	"F"	"Black or African American"	"2054-5"	498	360118	138.3
	"1980"	"1980"	"75-84 years"	"75-84"	"Female"	"F"	"Other Race"	"2131-1"	40	44842	89.2
	"1980"	"1980"	"75-84 years"	"75-84"	"Female"	"F"	"White"	"2106-3"	4580	4456907	102.8
	"1980"	"1980"	"75-84 years"	"75-84"	"Male"	"M"	"Black or African American"	"2054-5"	610	227979	267.6
	"1980"	"1980"	"75-84 years"	"75-84"	"Male"	"M"	"Other Race"	"2131-1"	84	38420	218.6
	"1980"	"1980"	"75-84 years"	"75-84"	"Male"	"M"	"White"	"2106-3"	5521	2600489	212.3
	"1980"	"1980"	"85+ years"	"85+"	"Female"	"F"	"Black or African American"	"2054-5"	250	106047	235.7
	"1980"	"1980"	"85+ years"	"85+"	"Female"	"F"	"Other Race"	"2131-1"	25	12596	198.5
	"1980"	"1980"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	3885	1439899	269.8
	"1980"	"1980"	"85+ years"	"85+"	"Male"	"M"	"Black or African American"	"2054-5"	207	53010	390.5
	"1980"	"1980"	"85+ years"	"85+"	"Male"	"M"	"Other Race"	"2131-1"	44	7751	567.7
	"1980"	"1980"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	2749	620764	442.8
	"1980"	"1980"	"Not Stated"	"NS"	"Female"	"F"	"Black or African American"	"2054-5"	15	Not Applicable	Not Applicable
	"1980"	"1980"	"Not Stated"	"NS"	"Female"	"F"	"Other Race"	"2131-1"	0	Not Applicable	Not Applicable
	"1980"	"1980"	"Not Stated"	"NS"	"Female"	"F"	"White"	"2106-3"	24	Not Applicable	Not Applicable
	"1980"	"1980"	"Not Stated"	"NS"	"Male"	"M"	"Black or African American"	"2054-5"	27	Not Applicable	Not Applicable
	"1980"	"1980"	"Not Stated"	"NS"	"Male"	"M"	"Other Race"	"2131-1"	4	Not Applicable	Not Applicable
	"1980"	"1980"	"Not Stated"	"NS"	"Male"	"M"	"White"	"2106-3"	151	Not Applicable	Not Applicable
	"1981"	"1981"	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	172	278801	61.7
	"1981"	"1981"	"< 1 year"	"1"	"Female"	"F"	"Other Race"	"2131-1"	23	56903	40.4
	"1981"	"1981"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	401	1433262	28.0
	"1981"	"1981"	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	189	286154	66.0
	"1981"	"1981"	"< 1 year"	"1"	"Male"	"M"	"Other Race"	"2131-1"	23	59701	38.5
	"1981"	"1981"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	472	1514417	31.2
	"1981"	"1981"	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	362	993390	36.4
	"1981"	"1981"	"1-4 years"	"1-4"	"Female"	"F"	"Other Race"	"2131-1"	35	206761	16.9
	"1981"	"1981"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	1031	5290734	19.5
	"1981"	"1981"	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	529	1010684	52.3
	"1981"	"1981"	"1-4 years"	"1-4"	"Male"	"M"	"Other Race"	"2131-1"	63	211916	29.7
	"1981"	"1981"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	1554	5571794	27.9
	"1981"	"1981"	"5-9 years"	"5-9"	"Female"	"F"	"Black or African American"	"2054-5"	200	1206303	16.6
	"1981"	"1981"	"5-9 years"	"5-9"	"Female"	"F"	"Other Race"	"2131-1"	27	247540	10.9
	"1981"	"1981"	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	617	6391813	9.7
	"1981"	"1981"	"5-9 years"	"5-9"	"Male"	"M"	"Black or African American"	"2054-5"	356	1226540	29.0
	"1981"	"1981"	"5-9 years"	"5-9"	"Male"	"M"	"Other Race"	"2131-1"	49	255621	19.2
	"1981"	"1981"	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	1178	6732304	17.5
	"1981"	"1981"	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	157	1334273	11.8
	"1981"	"1981"	"10-14 years"	"10-14"	"Female"	"F"	"Other Race"	"2131-1"	25	249120	10.0
	"1981"	"1981"	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	730	7365354	9.9
	"1981"	"1981"	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	387	1352793	28.6
	"1981"	"1981"	"10-14 years"	"10-14"	"Male"	"M"	"Other Race"	"2131-1"	57	261104	21.8
	"1981"	"1981"	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	1761	7737763	22.8
	"1981"	"1981"	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	335	1485022	22.6
	"1981"	"1981"	"15-19 years"	"15-19"	"Female"	"F"	"Other Race"	"2131-1"	82	252034	32.5
	"1981"	"1981"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	2975	8358812	35.6
	"1981"	"1981"	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	1466	1486964	98.6
	"1981"	"1981"	"15-19 years"	"15-19"	"Male"	"M"	"Other Race"	"2131-1"	235	272623	86.2
	"1981"	"1981"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	9526	8685102	109.7
	"1981"	"1981"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	628	1460967	43.0
	"1981"	"1981"	"20-24 years"	"20-24"	"Female"	"F"	"Other Race"	"2131-1"	119	273119	43.6
	"1981"	"1981"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	3279	9070863	36.1
	"1981"	"1981"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	2817	1341468	210.0
	"1981"	"1981"	"20-24 years"	"20-24"	"Male"	"M"	"Other Race"	"2131-1"	329	275394	119.5
	"1981"	"1981"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	13786	9241033	149.2
	"1981"	"1981"	"25-34 years"	"25-34"	"Female"	"F"	"Black or African American"	"2054-5"	1156	2412469	47.9
	"1981"	"1981"	"25-34 years"	"25-34"	"Female"	"F"	"Other Race"	"2131-1"	214	604805	35.4
	"1981"	"1981"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	4934	16565072	29.8
	"1981"	"1981"	"25-34 years"	"25-34"	"Male"	"M"	"Black or African American"	"2054-5"	5217	2105073	247.8
	"1981"	"1981"	"25-34 years"	"25-34"	"Male"	"M"	"Other Race"	"2131-1"	491	542020	90.6
	"1981"	"1981"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	19842	16671082	119.0
	"1981"	"1981"	"35-44 years"	"35-44"	"Female"	"F"	"Black or African American"	"2054-5"	642	1530190	42.0
	"1981"	"1981"	"35-44 years"	"35-44"	"Female"	"F"	"Other Race"	"2131-1"	132	390178	33.8
	"1981"	"1981"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	3445	11522519	29.9
	"1981"	"1981"	"35-44 years"	"35-44"	"Male"	"M"	"Black or African American"	"2054-5"	2784	1274148	218.5
	"1981"	"1981"	"35-44 years"	"35-44"	"Male"	"M"	"Other Race"	"2131-1"	291	363915	80.0
	"1981"	"1981"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	10698	11313440	94.6
	"1981"	"1981"	"45-54 years"	"45-54"	"Female"	"F"	"Black or African American"	"2054-5"	503	1261047	39.9
	"1981"	"1981"	"45-54 years"	"45-54"	"Female"	"F"	"Other Race"	"2131-1"	92	268433	34.3
	"1981"	"1981"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	3380	10123744	33.4
	"1981"	"1981"	"45-54 years"	"45-54"	"Male"	"M"	"Black or African American"	"2054-5"	2088	1030724	202.6
	"1981"	"1981"	"45-54 years"	"45-54"	"Male"	"M"	"Other Race"	"2131-1"	191	232708	82.1
	"1981"	"1981"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	8850	9662879	91.6
	"1981"	"1981"	"55-64 years"	"55-64"	"Female"	"F"	"Black or African American"	"2054-5"	492	1076863	45.7
	"1981"	"1981"	"55-64 years"	"55-64"	"Female"	"F"	"Other Race"	"2131-1"	52	187838	27.7
	"1981"	"1981"	"55-64 years"	"55-64"	"Female"	"F"	"White"	"2106-3"	3589	10399038	34.5
	"1981"	"1981"	"55-64 years"	"55-64"	"Male"	"M"	"Black or African American"	"2054-5"	1557	863922	180.2
	"1981"	"1981"	"55-64 years"	"55-64"	"Male"	"M"	"Other Race"	"2131-1"	131	162408	80.7
	"1981"	"1981"	"55-64 years"	"55-64"	"Male"	"M"	"White"	"2106-3"	8597	9223754	93.2
	"1981"	"1981"	"65-74 years"	"65-74"	"Female"	"F"	"Black or African American"	"2054-5"	427	793300	53.8
	"1981"	"1981"	"65-74 years"	"65-74"	"Female"	"F"	"Other Race"	"2131-1"	36	110260	32.7
	"1981"	"1981"	"65-74 years"	"65-74"	"Female"	"F"	"White"	"2106-3"	3694	8097086	45.6
	"1981"	"1981"	"65-74 years"	"65-74"	"Male"	"M"	"Black or African American"	"2054-5"	1017	572173	177.7
	"1981"	"1981"	"65-74 years"	"65-74"	"Male"	"M"	"Other Race"	"2131-1"	117	101372	115.4
	"1981"	"1981"	"65-74 years"	"65-74"	"Male"	"M"	"White"	"2106-3"	6954	6215679	111.9
	"1981"	"1981"	"75-84 years"	"75-84"	"Female"	"F"	"Black or African American"	"2054-5"	371	376214	98.6
	"1981"	"1981"	"75-84 years"	"75-84"	"Female"	"F"	"Other Race"	"2131-1"	37	48856	75.7
	"1981"	"1981"	"75-84 years"	"75-84"	"Female"	"F"	"White"	"2106-3"	4322	4598379	94.0
	"1981"	"1981"	"75-84 years"	"75-84"	"Male"	"M"	"Black or African American"	"2054-5"	571	234990	243.0
	"1981"	"1981"	"75-84 years"	"75-84"	"Male"	"M"	"Other Race"	"2131-1"	66	41975	157.2
	"1981"	"1981"	"75-84 years"	"75-84"	"Male"	"M"	"White"	"2106-3"	5353	2681338	199.6
	"1981"	"1981"	"85+ years"	"85+"	"Female"	"F"	"Black or African American"	"2054-5"	226	112631	200.7
